#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
486790 1365690 350 1.9e-22  0 0 0 0 9.6e-173 9.7e-89 1.8e-45 1e+02 
486790 1367190 350 4.8e-22  0 0 0 0 4.1e-169 7.5e-87 1.7e-44 1e+02 
486790 1368690 350 1.1e-21  0 0 0 1.1e-295 8e-166 3.8e-85 1.3e-43 1e+02 
486790 1370190 350 2.4e-21  0 0 0 1.9e-290 7.3e-163 1.3e-83 8.4e-43 1e+02 
486790 1371690 350 4.9e-21  0 0 0 8.2e-286 3.1e-160 3e-82 4.3e-42 1e+02 
486790 1373190 350 8.9e-21  0 0 0 9.3e-282 5.9e-158 4.7e-81 1.8e-41 1e+02 
486790 1374690 350 1.5e-20  0 0 0 2.7e-278 5.3e-156 4.8e-80 6e-41 1e+02 
486790 1376190 350 2.3e-20  0 0 0 2e-275 2.2e-154 3.3e-79 1.6e-40 1e+02 
486790 1377690 350 3.2e-20  0 0 0 3.8e-273 4.3e-153 1.6e-78 3.7e-40 1e+02 
486790 1379190 350 4.1e-20  0 0 0 1.8e-271 3.8e-152 4.8e-78 6.6e-40 1e+02 
486790 1380690 350 4.8e-20  0 0 0 2.2e-270 1.6e-151 1e-77 9.7e-40 1e+02 
486790 1382190 350 5.1e-20  0 0 0 6.9e-270 3e-151 1.4e-77 1.2e-39 1e+02 
486790 1383690 350 5.1e-20  0 0 0 5.5e-270 2.6e-151 1.3e-77 1.1e-39 1e+02 
486790 1385190 350 4.6e-20  0 0 0 1.1e-270 1.1e-151 8.2e-78 8.7e-40 1e+02 
486790 1386690 350 3.8e-20  0 0 0 5.8e-272 2e-152 3.5e-78 5.6e-40 1e+02 
486790 1388190 350 2.9e-20  0 0 0 7.6e-274 1.7e-153 9.7e-79 2.9e-40 1e+02 
486790 1389690 350 2e-20  0 0 0 2.6e-276 7e-155 1.8e-79 1.2e-40 1e+02 
486790 1391190 350 1.3e-20  0 0 0 2.2e-279 1.3e-156 2.3e-80 4.1e-41 1e+02 
486790 1392690 350 7.5e-21  0 0 0 4.8e-283 1.1e-158 2e-81 1.1e-41 1e+02 
486790 1394190 350 4e-21  0 0 0 2.7e-287 4.4e-161 1.1e-82 2.5e-42 1e+02 
486790 1395690 350 2e-21  0 0 0 3.8e-292 8.2e-164 4.2e-84 4.6e-43 1e+02 
486790 1397190 350 8.8e-22  0 0 0 1.4e-297 6.9e-167 1.1e-85 6.8e-44 1e+02 
486790 1398690 350 3.6e-22  0 0 0 0 2.7e-170 1.8e-87 8.2e-45 1e+02 
486790 1400190 350 1.4e-22  0 0 0 0 5e-174 2.1e-89 8e-46 1e+02 
486790 1401690 350 4.7e-23  0 0 0 0 4.2e-178 1.6e-91 6.3e-47 1e+02 
486790 1403190 350 1.5e-23  0 0 0 0 1.6e-182 8.2e-94 4.1e-48 1e+02 
486790 1404690 350 4.4e-24  0 0 0 0 2.9e-187 2.8e-96 2.1e-49 1e+02 
486790 1406190 350 1.2e-24  0 0 0 0 2.4e-192 6.5e-99 8.9e-51 1e+02 
486790 1407690 350 2.9e-25  0 0 0 0 9.2e-198 1e-101 3.1e-52 1e+02 
486790 1409190 350 6.4e-26  0 0 0 0 1.6e-203 1e-104 8.6e-54 1e+02 
486790 1410690 350 1.3e-26  0 0 0 0 1.3e-209 7.1e-108 1.9e-55 1e+02 
486790 1412190 350 2.5e-27  0 0 0 0 5e-216 3.3e-111 3.6e-57 1e+02 
486790 1413690 350 4.3e-28  0 0 0 0 8.7e-223 1e-114 5.3e-59 1e+02 
486790 1415190 350 6.9e-29  0 0 0 0 7e-230 2.1e-118 6.4e-61 1e+02 
486790 1416690 350 1e-29  0 0 0 0 2.6e-237 2.9e-122 6.3e-63 1e+02 
486790 1418190 350 1.4e-30  0 0 0 0 4.5e-245 2.7e-126 5e-65 1e+02 
486790 1419690 350 1.7e-31  0 0 0 0 3.5e-253 1.7e-130 3.3e-67 1e+02 
486790 1421190 350 1.9e-32  0 0 0 0 1.3e-261 7e-135 1.7e-69 1e+02 
486790 1422690 350 1.9e-33  0 0 0 0 2.2e-270 1.9e-139 7.3e-72 1e+02 
486790 1424190 350 1.9e-34  0 0 0 0 1.7e-279 3.6e-144 2.5e-74 1e+02 
486790 1425690 350 1.6e-35  0 0 0 0 0 4.5e-149 7.1e-77 1e+02 
486790 1427190 350 1.3e-36  0 0 0 0 0 3.7e-154 1.6e-79 1e+02 
486790 1428690 350 9.5e-38  0 0 0 0 0 2.1e-159 3e-82 1e+02 
486790 1430190 350 6.4e-39  0 0 0 0 0 7.8e-165 4.5e-85 1e+02 
486790 1431690 350 4e-40  0 0 0 0 0 1.9e-170 5.5e-88 1e+02 
488290 1332690 350 7.2e-40  0 0 0 0 0 4.5e-169 2.8e-87 1e+02 
488290 1334190 350 1.2e-38  0 0 0 0 0 2.4e-163 2.6e-84 1e+02 
488290 1335690 350 1.9e-37  0 0 0 0 0 8.2e-158 2e-81 1e+02 
488290 1337190 350 2.8e-36  0 0 0 0 0 1.9e-152 1.3e-78 1e+02 
488290 1338690 350 3.7e-35  0 0 0 0 2e-285 3e-147 6.3e-76 1e+02 
488290 1340190 350 4.5e-34  0 0 0 0 9.5e-276 3.2e-142 2.6e-73 1e+02 
488290 1341690 350 5.1e-33  0 0 0 0 2e-266 2.2e-137 8.6e-71 1e+02 
